league,time_stamp
nfl,2020-12-14T22:18:27.976000514Z
nfl,2020-12-14T23:18:28.209078063Z
nfl,2020-12-15T00:18:28.422709542Z
nfl,2020-12-15T01:18:27.914541634Z
nfl,2020-12-15T02:18:28.218536434Z
nfl,2020-12-15T03:18:28.44328253Z
nfl,2020-12-15T04:18:28.09504633Z
nfl,2020-12-15T05:18:28.548451199Z
nfl,2020-12-15T06:18:28.125610771Z
nfl,2020-12-15T07:18:27.998878229Z
nfl,2020-12-15T08:18:28.344825773Z
nfl,2020-12-15T09:18:28.988809852Z
nfl,2020-12-15T10:18:28.045735399Z
nfl,2020-12-15T11:18:28.126400118Z
nfl,2020-12-15T12:18:28.229558221Z
nfl,2020-12-15T13:18:27.971670079Z
nfl,2020-12-15T14:18:28.350376077Z
nfl,2020-12-15T14:56:09.244878824Z
nfl,2020-12-15T15:18:28.248386286Z
nfl,2020-12-15T16:18:28.333966529Z
nfl,2020-12-15T17:18:28.306381759Z
nfl,2020-12-15T18:18:28.471332948Z
nfl,2020-12-15T19:18:28.27154312Z
nfl,2020-12-15T20:18:28.499595101Z
nfl,2020-12-15T21:18:28.2245404Z
nfl,2020-12-15T22:18:28.42698003Z
nfl,2020-12-15T23:18:28.116436306Z
nfl,2020-12-16T00:18:28.271358933Z
nfl,2020-12-16T01:18:28.137160733Z
nfl,2020-12-16T02:18:28.200976466Z
nfl,2020-12-16T03:18:28.251520728Z
nfl,2020-12-16T04:18:28.191263977Z
nfl,2020-12-16T05:18:31.214610436Z
nfl,2020-12-16T06:18:28.304003151Z
nfl,2020-12-16T07:18:28.10506027Z
nfl,2020-12-16T08:18:28.450574784Z
nfl,2020-12-16T09:18:28.606866494Z
nfl,2020-12-16T10:18:28.184007074Z
nfl,2020-12-16T11:18:28.200725659Z
nfl,2020-12-16T12:18:28.369680515Z
nfl,2020-12-16T13:18:28.274868194Z
nfl,2020-12-16T14:19:38.6115303Z
nfl,2020-12-16T15:18:28.322803958Z
nfl,2020-12-16T16:18:28.169334047Z
nfl,2020-12-16T17:18:28.276922017Z
nfl,2020-12-16T18:18:28.109546413Z
nfl,2020-12-16T19:18:28.155582057Z
nfl,2020-12-16T20:18:28.256592811Z
nfl,2020-12-16T21:18:28.484795832Z
nfl,2020-12-16T22:18:28.56596421Z
nfl,2020-12-16T23:18:28.881286397Z
nfl,2020-12-17T00:18:28.185340148Z
nfl,2020-12-17T01:18:28.309946836Z
nfl,2020-12-17T02:18:28.452122044Z
nfl,2020-12-17T03:18:28.197756459Z
nfl,2020-12-17T04:18:28.194240057Z
nfl,2020-12-17T05:18:28.204000861Z
nfl,2020-12-17T06:18:28.365920059Z
nfl,2020-12-17T07:18:28.563926797Z
nfl,2020-12-17T08:18:28.304284606Z
nfl,2020-12-17T09:18:28.121442873Z
nfl,2020-12-17T10:18:28.290231147Z
nfl,2020-12-17T11:18:28.174431496Z
nfl,2020-12-17T12:18:28.683620158Z
nfl,2020-12-17T13:18:28.139409518Z
nfl,2020-12-17T14:18:28.275183998Z
nfl,2020-12-17T15:18:28.274967375Z
nfl,2020-12-17T16:18:28.134901923Z
nfl,2020-12-17T17:18:28.127484737Z
nfl,2020-12-17T18:18:28.451164551Z
nfl,2020-12-17T19:18:28.44194449Z
nfl,2020-12-17T20:18:28.252442702Z
nfl,2020-12-17T21:18:28.478951962Z
nfl,2020-12-17T22:18:28.415606747Z
nfl,2020-12-17T23:18:28.35150301Z
nfl,2020-12-18T00:18:28.440199575Z
nfl,2020-12-18T01:18:28.457421795Z
nfl,2020-12-18T02:18:27.984542481Z
nfl,2020-12-18T03:18:28.200037497Z
nfl,2020-12-18T04:18:28.353045577Z
nfl,2020-12-18T05:18:28.360364599Z
nfl,2020-12-18T06:18:28.340083659Z
nfl,2020-12-18T07:18:28.432057492Z
nfl,2020-12-18T08:18:28.275607064Z
nfl,2020-12-18T09:18:28.342072392Z
nfl,2020-12-18T10:18:28.551408844Z
nfl,2020-12-18T11:18:28.231452575Z
nfl,2020-12-18T12:18:28.289913085Z
nfl,2020-12-18T13:18:28.332023211Z
nfl,2020-12-18T14:18:28.251305307Z
nfl,2020-12-18T15:18:28.319922158Z
nfl,2020-12-18T16:18:28.192797038Z
nfl,2020-12-18T17:18:28.308651288Z
nfl,2020-12-18T18:18:28.495700108Z
nfl,2020-12-18T19:18:28.338791477Z
nfl,2020-12-18T20:18:28.257231255Z
